time,close,high,low,open,volumefrom,volumeto
1439596800,257.13,266.55,252.87,265.03,155826.03,40561755.06
1439856000,234.66,257.53,214.29,257.13,431307.02,100635824.33
1440115200,226.75,236.3,221.04,234.66,180695.37,41666733.62
1440374400,224.97,230.69,196.26,226.75,480301.32,104646615.37
1440633600,228.5,234.81,219.6,224.97,194646.99,44454732.99
1440892800,227.18,232.32,224.2,228.5,160858.89,36846296.93
1441152000,230.25,231.06,225.36,227.18,174678.87,39955500.6
1441411200,239.58,243.64,228.29,230.25,171739.19,40937573
1441670400,238.08,246.38,234.31,239.58,206155.08,49689337.5
1441929600,230.19,241.02,228.28,238.08,141143.68,33382981.96
1442188800,228.6,242.83,225.05,230.19,162526.53,37363110.72
1442448000,231.11,235.17,227.95,228.6,143700.09,33377869.98
1442707200,230.01,233.24,224.07,231.11,158123.82,36246930.68
1442966400,235.03,237.58,228.5,230.01,177301.28,41372920.9
1443225600,238.87,240.39,231.84,235.03,140703.07,33162417.26
1443484800,237.05,240.39,234.39,238.87,160696.28,38118993.23
1443744000,238.33,277.58,235.14,237.05,123100.76,29335651.97
1444003200,242.98,247.61,236.41,238.33,202685.2,49237261.85
1444262400,245.35,245.93,241.34,242.98,123687.4,30207167.95
1444521600,248.78,251.19,243.11,245.35,156696.82,38747435.65
1444780800,262.87,267.27,248.28,248.78,225395.73,57862543.5
1445040000,263.82,275.41,259.53,262.87,224277.08,59989351.21
1445299200,274.42,278.74,262.7,263.82,228194.18,61689215.02
1445558400,287.86,295.56,273.17,274.42,243355.79,69043619.09
1445817600,303.54,307.46,279.62,287.86,295482.75,86915100.65
1446076800,311.24,334.92,300.16,303.54,401240.49,127753763.56
1446336000,396.49,416.78,304.72,311.24,718800.39,263773234.87
1446595200,369.81,492.8,348.84,396.49,1075961.81,446358426.57
1446854400,380.22,391.75,360.17,369.81,322917.73,122477517.58
1447113600,333.85,381.38,292.38,380.22,638865.18,212095307.09
1447372800,317.45,369.8,314.16,333.85,256676.03,84957060.36
1447632000,335.92,342.91,314.06,317.45,263744.9,87400158.3
1447891200,324.7,335.64,309.48,335.92,241357.4,78286383.29
1448150400,318.35,326.94,315.54,324.7,130142.34,42037597.48
1448409600,359.52,368.92,315.69,318.35,392541.08,135552161.56
1448668800,377.97,382.56,350.49,359.52,253304.02,93447579.91
1448928000,360.31,379.02,347.16,377.97,291579.64,105375843.05
1449187200,393.38,402.19,354.31,360.31,307603.6,117327289.73
1449446400,416,424.58,381.69,393.38,318474.91,128935837.55
